appID,appCategory
14,2
25,203
68,104
75,402
83,203
84,402
88,203
100,301
105,301
109,407
113,104
116,402
123,104
127,101
137,301
146,104
150,104
160,408
195,104
198,104
205,101
206,106
218,104
229,104
262,0
271,101
278,104
283,104
284,101
286,104
293,104
304,101
319,104
327,104
328,104
336,104
350,104
354,203
355,203
356,402
357,201
358,201
359,203
360,201
361,2
362,409
363,2
364,301
365,301
366,203
367,2
368,203
369,503
370,210
371,301
372,203
373,0
374,201
375,203
376,201
377,407
378,301
379,203
380,203
381,503
382,407
383,2
384,0
385,203
386,301
387,104
388,301
389,108
390,301
391,503
392,211
393,1
394,2
395,503
396,108
397,104
398,104
399,104
400,211
401,503
402,211
403,201
404,503
405,0
406,110
407,402
408,203
409,405
410,402
411,108
412,108
413,401
414,104
415,108
416,104
417,104
418,0
419,104
420,402
421,104
422,408
423,104
424,104
425,104
426,503
427,104
428,503
429,104
430,104
431,203
432,104
433,104
434,108
435,407
436,402
437,104
438,104
439,104
440,108
441,503
442,301
443,104
444,104
445,210
446,108
447,503
448,104
449,104
450,108
451,104
452,104
453,104
454,108
455,402
456,503
457,104
458,109
459,402
460,104
461,203
462,106
463,103
464,104
465,209
466,104
467,104
468,104
469,104
470,106
471,104
472,104
473,104
474,104
475,104
476,104
477,104
478,104
479,301
480,407
481,0
482,0
483,0
484,407
485,301
486,301
487,0
488,301
489,0
490,0
491,0
492,0
493,0
494,0
495,103
496,0
497,301
498,203
499,0
500,402
501,503
502,0
503,503
504,503
505,503
506,503
507,503
508,503
509,503
510,0
511,0
512,301
513,409
514,0
515,0
516,503
517,503
518,503
519,503
520,503
521,503
522,503
523,503
524,503
525,0
526,0
527,503
528,503
529,503
530,503
531,503
532,503
533,0
534,406
535,209
536,104
537,408
538,301
539,409
540,0
541,405
542,503
543,0
544,503
545,503
546,201
547,201
548,201
549,405
550,0
551,0
552,201
553,201
554,201
555,0
556,201
557,405
558,209
559,405
560,0
561,0
562,0
563,405
564,203
565,203
566,301
567,301
568,301
569,301
570,301
571,106
572,106
573,0
574,0
575,405
576,106
577,106
578,106
579,108
580,203
581,503
582,407
583,0
584,203
585,0
586,406
587,408
588,0
589,109
590,108
591,0
592,303
593,503
594,0
595,503
596,106
597,503
598,0
599,210
600,401
601,0
602,503
603,503
604,210
605,203
606,0
607,403
608,110
609,0
610,0
611,406
612,203
613,402
614,503
615,211
616,0
617,0
618,0
619,0
620,201
621,0
622,301
623,401
624,0
625,503
626,106
627,503
628,0
629,402
630,405
631,503
632,0
633,201
634,106
635,209
636,0
637,0
638,503
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,402
647,402
648,402
649,503
650,0
651,407
652,503
653,0
654,106
655,503
656,503
657,0
658,0
659,0
660,405
661,405
662,401
663,0
664,405
665,0
666,301
667,503
668,0
669,209
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,408
678,407
679,0
680,209
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,402
693,0
694,503
695,403
696,503
697,209
698,0
699,405
700,503
701,0
702,405
703,0
704,406
705,201
706,106
707,406
708,401
709,402
710,201
711,0
712,303
713,301
714,209
715,503
716,503
717,407
718,209
719,0
720,106
721,0
722,408
723,0
724,209
725,106
726,0
727,0
728,0
729,503
730,503
731,503
732,503
733,0
734,108
735,106
736,103
737,0
738,0
739,0
740,209
741,108
742,0
743,0
744,503
745,0
746,0
747,401
748,403
749,209
750,503
751,407
752,407
753,407
754,209
755,0
756,402
757,0
758,0
759,0
760,209
761,402
762,108
763,0
764,0
765,301
766,401
767,401
768,201
769,503
770,0
771,105
772,503
773,407
774,409
775,407
776,0
777,301
778,503
779,0
780,0
781,0
782,405
783,503
784,0
785,0
786,0
787,0
788,0
789,0
790,209
791,209
792,203
793,0
794,0
795,0
796,209
797,0
798,105
799,303
800,0
801,106
802,106
803,0
804,407
805,0
806,0
807,0
808,408
809,0
810,303
811,408
812,0
813,407
814,401
815,0
816,0
817,0
818,106
819,409
820,0
821,0
822,209
823,0
824,0
825,0
826,301
827,203
828,209
829,0
830,405
831,0
832,0
833,106
834,0
835,0
836,201
837,0
838,402
839,0
840,0
841,0
842,408
843,209
844,0
845,503
846,0
847,408
848,403
849,503
850,211
851,0
852,0
853,407
854,401
855,402
856,408
857,203
858,0
859,209
860,106
861,0
862,109
863,503
864,105
865,105
866,0
867,301
868,0
869,408
870,408
871,211
872,0
873,409
874,0
875,201
876,106
877,211
878,0
879,407
880,0
881,105
882,301
883,301
884,0
885,402
886,0
887,405
888,105
889,0
890,210
891,503
892,402
893,0
894,401
895,0
896,0
897,209
898,301
899,503
900,303
901,209
902,211
903,0
904,0
905,503
906,0
907,0
908,0
909,0
910,0
911,105
912,0
913,503
914,503
915,407
916,0
917,210
918,0
919,0
920,0
921,402
922,0
923,201
924,0
925,408
926,0
927,0
928,203
929,301
930,110
931,0
932,108
933,106
934,0
935,203
936,0
937,201
938,503
939,0
940,503
941,405
942,103
943,407
944,401
945,0
946,203
947,301
948,303
949,401
950,0
951,203
952,0
953,402
954,402
955,211
956,503
957,109
958,503
959,405
960,0
961,106
962,106
963,408
964,408
965,408
966,503
967,0
968,106
969,203
970,0
971,503
972,0
973,503
974,109
975,0
976,0
977,0
978,203
979,104
980,405
981,303
982,0
983,0
984,0
985,209
986,405
987,401
988,401
989,203
990,108
991,0
992,408
993,407
994,407
995,203
996,503
997,301
998,110
999,301
1000,0
1001,0
1002,0
1003,210
1004,0
1005,0
1006,0
1007,402
1008,503
1009,503
1010,106
1011,301
1012,503
1013,405
1014,0
1015,0
1016,405
1017,403
1018,203
1019,106
1020,403
1021,203
1022,203
1023,209
1024,303
1025,0
1026,0
1027,0
1028,0
1029,106
1030,0
1031,0
1032,104
1033,401
1034,405
1035,201
1036,408
1037,0
1038,0
1039,409
1040,105
1041,406
1042,210
1043,0
1044,0
1045,0
1046,503
1047,301
1048,407
1049,0
1050,203
1051,303
1052,303
1053,407
1054,407
1055,203
1056,405
1057,407
1058,407
1059,401
1060,503
1061,210
1062,0
1063,407
1064,503
1065,201
1066,0
1067,110
1068,301
1069,106
1070,503
1071,503
1072,0
1073,0
1074,105
1075,407
1076,401
1077,0
1078,105
1079,105
1080,105
1081,104
1082,105
1083,104
1084,105
1085,0
1086,104
1087,408
1088,0
1089,210
1090,0
1091,405
1092,0
1093,301
1094,106
1095,0
1096,503
1097,405
1098,0
1099,0
1100,0
1101,0
1102,303
1103,0
1104,408
1105,402
1106,209
1107,503
1108,303
1109,0
1110,106
1111,104
1112,0
1113,0
1114,104
1115,0
1116,0
1117,403
1118,0
1119,503
1120,0
1121,106
1122,103
1123,301
1124,401
1125,0
1126,0
1127,106
1128,104
1129,0
1130,209
1131,0
1132,0
1133,0
1134,401
1135,0
1136,503
1137,0
1138,401
1139,401
1140,0
1141,0
1142,106
1143,106
1144,301
1145,0
1146,108
1147,503
1148,209
1149,402
1150,402
1151,0
1152,103
1153,0
1154,0
1155,106
1156,106
1157,405
